"","X","type","name","true","mean","sd_empirical","sd_est","rmse","est_test"
"1",1,"est","AUC",0.866,0.869,0.029,0.03,0.029,0.868
"2",1,"est","sen.25.",0.952,0.953,0.021,0.021,0.021,0.952
"3",1,"est","sen.50.",0.781,0.778,0.035,0.037,0.035,0.766
"4",1,"est","sen.75.",0.452,0.445,0.029,0.036,0.029,0.428
"5",1,"est","spe.25.",0.456,0.459,0.034,0.042,0.034,0.475
"6",1,"est","spe.50.",0.783,0.793,0.041,0.043,0.042,0.803
"7",1,"est","spe.75.",0.954,0.959,0.02,0.02,0.02,0.957
"8",2,"est","AUC",0.868,0.873,0.037,0.038,0.037,0.87
"9",2,"est","sen.25.",0.895,0.897,0.023,0.023,0.023,0.892
"10",2,"est","sen.50.",0.654,0.649,0.026,0.029,0.026,0.638
"11",2,"est","sen.75.",0.341,0.333,0.016,0.025,0.017,0.327
"12",2,"est","spe.25.",0.616,0.625,0.07,0.079,0.071,0.635
"13",2,"est","spe.50.",0.886,0.894,0.049,0.049,0.05,0.891
"14",2,"est","spe.75.",0.981,0.98,0.014,0.014,0.014,0.98
"15",3,"est","AUC",0.866,0.87,0.043,0.041,0.043,0.866
"16",3,"est","sen.25.",0.952,0.952,0.023,0.022,0.022,0.951
"17",3,"est","sen.50.",0.779,0.776,0.039,0.038,0.039,0.765
"18",3,"est","sen.75.",0.452,0.44,0.032,0.035,0.034,0.434
"19",3,"est","spe.25.",0.458,0.465,0.054,0.056,0.054,0.468
"20",3,"est","spe.50.",0.783,0.798,0.062,0.06,0.064,0.796
"21",3,"est","spe.75.",0.955,0.957,0.027,0.024,0.027,0.957
"22",1,"direct","AUC",0.866,0.869,0.029,0.03,0.029,0.868
"23",1,"direct","sen.25.",0.952,0.953,0.021,0.021,0.021,0.952
"24",1,"direct","sen.50.",0.781,0.783,0.035,0.037,0.035,0.771
"25",1,"direct","sen.75.",0.452,0.453,0.029,0.036,0.029,0.436
"26",1,"direct","spe.25.",0.456,0.46,0.034,0.042,0.034,0.476
"27",1,"direct","spe.50.",0.783,0.789,0.041,0.043,0.041,0.799
"28",1,"direct","spe.75.",0.954,0.957,0.021,0.02,0.021,0.956
"29",2,"direct","AUC",0.868,0.873,0.037,0.038,0.037,0.87
"30",2,"direct","sen.25.",0.895,0.897,0.023,0.024,0.023,0.892
"31",2,"direct","sen.50.",0.654,0.654,0.026,0.029,0.026,0.644
"32",2,"direct","sen.75.",0.341,0.34,0.016,0.025,0.016,0.334
"33",2,"direct","spe.25.",0.616,0.627,0.071,0.079,0.071,0.636
"34",2,"direct","spe.50.",0.886,0.892,0.05,0.049,0.05,0.889
"35",2,"direct","spe.75.",0.981,0.98,0.014,0.015,0.014,0.98
"36",3,"direct","AUC",0.866,0.87,0.043,0.041,0.043,0.866
"37",3,"direct","sen.25.",0.952,0.952,0.023,0.022,0.023,0.951
"38",3,"direct","sen.50.",0.779,0.781,0.038,0.038,0.038,0.77
"39",3,"direct","sen.75.",0.452,0.449,0.032,0.035,0.032,0.442
"40",3,"direct","spe.25.",0.458,0.466,0.054,0.057,0.054,0.469
"41",3,"direct","spe.50.",0.783,0.794,0.062,0.06,0.063,0.792
"42",3,"direct","spe.75.",0.955,0.956,0.028,0.024,0.028,0.955
